Smiles,Boiling_point_K
C#CC(C)(C)C#C,365.1122929
C#CC(C)(C)CC,359.1935555
C#CC(C)C(C)C,361.8506908
C#CC(C)CCC,366.6601551
C#CC(CC)=CC,383.8497436
C#CC(CC)CC,367.0574598
C#CC1=CCCC1,383.7070958
C#CC1CC=CC1,365.1263578
C#CC1CCCC1,372.855999
C#CC=CC(C)C,377.5344986
C#CC=CCCC,384.2656754
C#CCC(C)(C)C,374.8737746
C#CCC(C)CC,366.456617
C#CCCC#CC,397.4676558
C#CCCC(C)C,366.2576644
C#CCCCC#C,379.8982518
C#CCCCCC,368.2261921
C/C(C)=C(C)/C,340.7091841
C/C(C)=C(C)\C=C\C,398.7379419
C/C(C)=C\C(C)(C)C,383.2848099
C/C(C)=C\C(C)C,359.9151811
C/C(C)=C\C=C\C,376.7626383
C/C=C(C)/C(C)C,361.785191
C/C=C(C)/C=C/C,377.624633
C/C=C(C)/CC,341.7026054
C/C=C(C)/CCC,369.0060476
C/C=C(C)\C(C)C,360.2506852
C/C=C(C)\C=C/C,377.624633
C/C=C(C)\CC,341.4365169
C/C=C/C,277.451325
C/C=C/C(C)(C)C,347.679955
C/C=C/C/C=C/C,370.9615943
C/C=C/C/C=C\C,370.9615943
C/C=C/C1(C)CC1,366.3891531
C/C=C/C=C/C,353.7786335
C/C=C/C=C\CC,373.104274
C/C=C/CC,309.2318038
C/C=C/CCC,339.3994048
C/C=C/CCCC,367.9223445
C/C=C/CCCCCC,420.2259359
C/C=C/[C@@H]1[C@H](C)C1,361.4300633
C/C=C\C,277.451325
C/C=C\C(C)C,331.3552845
C/C=C\C(C)CCC,387.2759207
C/C=C\C/C=C\C,370.9615943
C/C=C\C=C/CC,373.104274
C/C=C\C=C\CC,373.104274
C/C=C\CC,309.2318038
C/C=C\CC1CC1,365.5880693
C/C=C\CCC,339.3994048
C/C=C\CCCCCC,420.2259359
C/C=C\[C@H]1[C@H](C)C1,361.4300633
C1(CC2CC2)CC1,400.9166243
C12=C(CCC2)C=CC=C1,450.6622193
C12=CC=CC=C1C=CC=C2,492.3417695
C12C3CC3C1C=C2,364.6513608
C1=CC=CC1,314.7174411
C1=CC=CC=C1,359.5157342
C1=CC=CC=CC1,379.3264075
C1=CC=CCC1,357.7258571
C1=CC=CCCC1,375.8978095
C1=CCC#CCC1,376.8232025
C1=CCC=CCC1,371.2581905
C1=CCCC1,317.6272729
C1=CCCCC1,356.3939111
C1=CCCCCC1,372.3532573
C1CCCC1,320.9458698
C1CCCCC1,353.5705461
C1CCCCCC1,379.8303233
C=C(C)/C=C/C=C,389.9017784
C=C(C)/C=C\C=C,389.9017784
C=C(C)C#CCC,386.5076123
C=C(C)C(C)(C)C,351.041
C=C(C)C(C)=CC,380.3013873
C=C(C)C(C)C,335.1237507
C=C(C)C(C)C=C,363.3332255
C=C(C)C(C)CC,360.8911616
C=C(C)C/C=C/C,379.7488227
C=C(C)C=C(C)C,378.6383654
C=C(C)C=CC,346.2993141
C=C(C)C=CC=C,389.9017784
C=C(C)CC,303.9150342
C=C(C)CC(C)(C)C,374.59
C=C(C)CC(C)=C,380.5910159
C=C(C)CC(C)C,358.9368608
C=C(C)CC=CC,379.7488227
C=C(C)CCC,335.262647
C=C(C)CCC=C,365.0448252
C=C(C)CCCC,366.8804491
C=C(C)CCCCC,392.8759485
C=C(C)CCCCCC,419.2372787
C=C(C)[C@@H](C)CC,364.4847044
C=C(C1(C)C=C1)C,373.3499823
C=C(C1(C)CC1)C,370.2811258
C=C(C1CC1)CC,369.1448366
C=C(CC)C(C)=C,372.4026321
C=C(CC)C(C)C,361.5658182
C=C(CC)CC,335.262647
C=C(CC)CCC,370.4310188
C=C(CC1)CC1=C,377.6258525
C=C(CCC1)C1=C,382.4679091
C=C/C=C(C)/CC,378.0431426
C=C/C=C\CCC,383.3570592
C=C1C(C)C1(C)C,369.413436
C=C1C(C)CCC1,370.4702098
C=C1C2C=CC2C1,361.7404084
C=C1C=CC=CC1,388.3540713
C=C1C=CCC=C1,379.0704265
C=C1C=CCCC1,382.4547052
C=C1CC(C)(C)C1,371.093377
C=C1CC(C)CC1,370.4700236
