Smiles,?Hc°(KJ/kg)
C#CC(C)(C)C#C,40674.60867
C#CC(C)(C)CC,43242.50963
C#CC(C)C(C)C,42299.17607
C#CC(C)CCC,43033.39147
C#CC(CC)=CC,43615.19899
C#CC(CC)CC,43315.06907
C#CC1=CCCC1,43264.28635
C#CC1CC=CC1,41324.0245
C#CC1CCCC1,42351.01838
C#CC=CC(C)C,42434.84375
C#CC=CCCC,43208.48639
C#CCC(C)(C)C,42928.76369
C#CCC(C)CC,43032.092880000004
C#CCCC#CC,43796.80788
C#CCCC(C)C,43517.41414
C#CCCCC#C,43797.1658
C#CCCCCC,44467.960289999995
C/C(C)=C(C)/C,44760.2323
C/C(C)=C(C)\C=C\C,44117.2072
C/C(C)=C\C(C)(C)C,44062.3582
C/C(C)=C\C(C)C,44073.58711
C/C(C)=C\C=C\C,43701.09566
C/C=C(C)/C(C)C,44293.1676
C/C=C(C)/C=C/C,43727.59622
C/C=C(C)/CC,44527.905276666665
C/C=C(C)/CCC,44296.263985
C/C=C(C)\C(C)C,44122.671405
C/C=C(C)\C=C/C,43727.59622
C/C=C(C)\CC,44450.17202
C/C=C/C,44892.66517
C/C=C/C(C)(C)C,44104.81317
C/C=C/C/C=C/C,43771.09619
C/C=C/C/C=C\C,43771.09619
C/C=C/C1(C)CC1,43424.23988
C/C=C/C=C/C,43348.30263
C/C=C/C=C\CC,43647.31304
C/C=C/CC,44567.36885500001
C/C=C/CCC,44368.624915
C/C=C/CCCC,44247.04854
C/C=C/CCCCCC,44098.99522
C/C=C/[C@@H]1[C@H](C)C1,43053.24242
C/C=C\C,44892.66517
C/C=C\C(C)C,44112.928960000005
C/C=C\C(C)CCC,43968.260180000005
C/C=C\C/C=C\C,43771.09619
C/C=C\C=C/CC,43647.31304
C/C=C\C=C\CC,43647.31304
C/C=C\CC,44567.36885500001
C/C=C\CC1CC1,43389.35625
C/C=C\CCC,44368.624915
C/C=C\CCCCCC,44098.99522
C/C=C\[C@H]1[C@H](C)C1,43053.24242
C1(CC2CC2)CC1,42268.70588
C12=C(CCC2)C=CC=C1,40411.309349999996
C12=CC=CC=C1C=CC=C2,39524.42504
C12C3CC3C1C=C2,42315.316210000005
C1=CC=CC1,43855.69248
C1=CC=CC=C1,40265.69881333333
C1=CC=CC=CC1,41231.23559
C1=CC=CCC1,43452.490260000006
C1=CC=CCCC1,42435.20896
C1=CCC#CCC1,42857.29568
C1=CCC=CCC1,42661.582089999996
C1=CCCC1,43805.95978
C1=CCCCC1,43404.811369999996
C1=CCCCCC1,42576.621289999995
C1CCCC1,43741.605815
C1CCCCC1,43427.36285666667
C1CCCCCC1,43259.41705
C=C(C)/C=C/C=C,42323.85842
C=C(C)/C=C\C=C,42323.85842
C=C(C)C#CCC,42643.56291
C=C(C)C(C)(C)C,43990.453785000005
C=C(C)C(C)=CC,43897.35458
C=C(C)C(C)C,44112.89295
C=C(C)C(C)C=C,43245.032785
C=C(C)C(C)CC,44065.87851
C=C(C)C/C=C/C,43628.63677
C=C(C)C=C(C)C,43947.16562
C=C(C)C=CC,43806.24634
C=C(C)C=CC=C,42323.85842
C=C(C)CC,44567.36885500001
C=C(C)CC(C)(C)C,43861.973249999995
C=C(C)CC(C)=C,43667.90036
C=C(C)CC(C)C,43821.942590000006
C=C(C)CC=CC,43628.63677
C=C(C)CCC,44368.624915
C=C(C)CCC=C,44850.40316
C=C(C)CCCC,44349.096340000004
C=C(C)CCCCC,44151.321339999995
C=C(C)CCCCCC,44098.99522
C=C(C)[C@@H](C)CC,44110.89177
C=C(C1(C)C=C1)C,42046.14135
C=C(C1(C)CC1)C,43640.33678
C=C(C1CC1)CC,43578.41315
C=C(CC)C(C)=C,44125.823710000004
C=C(CC)C(C)C,43913.83532
C=C(CC)CC,44350.66713
C=C(CC)CCC,44248.768019999996
C=C(CC1)CC1=C,42778.29347
C=C(CCC1)C1=C,42473.39477
C=C/C=C(C)/CC,43615.02504
C=C/C=C\CCC,43151.73023
C=C1C(C)C1(C)C,42583.147260000005
C=C1C(C)CCC1,43614.13945
C=C1C2C=CC2C1,41286.92115
C=C1C=CC=CC1,41244.22221
C=C1C=CCC=C1,41621.14138
C=C1C=CCCC1,42500.60716
C=C1CC(C)(C)C1,43335.76743
C=C1CC(C)CC1,43628.20929
C=C1CC(CC)C1,43414.550639999994
C=C1CC=CCC1,42769.49395
C=C1CCCCC1,42371.52298
C=C=C(C)C(C)=C,44705.22941
C=C=C(C)C=C=C,43804.831210000004
C=C=C(C1CC1)C,42977.03707
C=C=CC(C)(C)C,42515.149489999996
C=C=CCC(C)C,43499.04094
C=C=CCCCC,44682.53963
C=CC#CC=CC,42055.54297
C=CC#CCC=C,42587.70817
C=CC#CCCC,42547.97645
C=CC(C)(C)C=C,41916.530419999996
C=CC(C)(C)CC,43641.712569999996
C=CC(C)=C(C)C,43746.49566
C=CC(C)C,44200.58886
C=CC(C)C(C)C,43264.984534999996
C=CC(C)C(C)CC,43714.92008
C=CC(C)C=C,42022.48867
C=CC(C)CC,44078.811225
C=CC(C)CC=C,42539.72113
C=CC(C)CCC,43820.63136
C=CC(C=C)=CC,42062.600119999996
C=CC(C=C)C=C,40488.033189999995
C=CC(CC)CC,43854.27371
C=CC(CC)CCCC,43915.976989999996
C=CC/C(C)=C/C,44757.141189999995
C=CC/C=C\CC,44347.33667
C=CC1(C#C)CC1,41511.6505
C=CC1=CC=CC=C1,40542.273585
C=CC1=CCCC1,42572.61472
C=CC1C=CCC1,41957.787000000004
C=CC1CCCC1,42161.33502
C=CC=C(C)CC,43615.02504
C=CC=C1C=CC1,41568.22144
C=CC=CC,43952.18092
C=CC=CC(C)C,42879.937289999994
C=CC=CC=CC,42548.67065
C=CC=CCC=C,43390.2967
C=CC=CCCC,43151.73023
C=CCC,44917.55386
C=CCC(C)(C)C,43798.705925
C=CCC(C)=CC,44757.141189999995
C=CCC(C)C,44060.97074
C=CCC(C)CC,43855.262805000006
C=CCC/C=C\C,44817.06937
C=CCC=C(C)C,44517.90145
C=CCC=CCC,44347.33667
C=CCCC,44573.788715
C=CCCC(C)C,43920.581305
C=CCCC1CC1,42965.55268
C=CCCC=CC,44817.06937
C=CCCCC,44715.80533
C=CCCCC#C,44443.30185
C=CCCCC=C,44695.21573
C=CCCCCC,44480.55054
C=CCCCCCC,44459.83779
C=CCCCCCCC,44092.9116
C=CCCCCCCCC,44050.249710000004
C=CCCCCCCCCC,44015.36444
C=CC[C@@H](C)CC,43727.07566
C=C[C@H](C)C(C)C,42795.984639999995
C=C[C@H](C)CCC,43657.81277
C=C[C@H]1[C@H](C=C)C1,41111.02177
CC#CC(C)(C)C,44285.23698
CC#CC(C)CC,43617.25665
CC#CCC(C)C,43828.19972
CC#CCCCC,45438.03914
CC(C)(C)C,45073.43342
CC(C)(C)C(C)C,44249.53607
CC(C)(C)C(C)CCC,44264.84035
CC(C)(C)C(C)CO,37522.177939999994
CC(C)(C)C(O)CC,36379.06491
CC(C)(C)C(OC)C,36861.98988
CC(C)(C)CC,44760.697365
CC(C)(C)CC(C)(C)C,44298.31954
CC(C)(C)CC(C)C,44331.890125
CC(C)(C)CC(C)CC,44264.84035
CC(C)(C)CCC,44605.906514999995
CC(C)(C)CCC(C)C,44264.84035
CC(C)(C)CCCC,44457.44421
CC(C)(C)CCCCCC,44264.54864
CC(C)(C)CCCO,37543.92011
CC(C)(C)CCOC,36984.50368
CC(C)(OC)C(C)C,37111.9958
CC(C)(OC)CCC,37083.23246
CC(C)(OCC)CC,37739.10623
CC(C)/C=C/CC,44038.689495
CC(C)=C(C)CC,44511.008304999996
CC(C)=C/C=C/C,43701.09566
CC(C)=C1CCC1,43169.84907
CC(C)=C=C(C)C,45640.725060000004
CC(C)=C=CCC,45487.56254
CC(C)=CC,44635.09889
CC(C)=CC(C)(C)C,44122.4638
CC(C)=CC(C)C,44073.58711
CC(C)=CC=CC,43701.09566
CC(C)=CCC,44432.18851
CC(C)=CCCC,44366.284810000005
