,Smiles,Density (g/mL),Density_correct
0,CC(C)CC(C)C,0.673,0.673
1,CCCCCCC,0.678688381,
2,CC(C)(C)C(C)C,0.6798114820000001,
3,CCC(C)(C)CC,0.68089056,
4,CC(C)C(C)CC,0.677702178,
5,CCC(C)CCC,0.681342277,
6,CC(C)(C)CCC,0.68242503,
7,CC(C)CCCC,0.6799935559999999,
8,CCC(CC)CC,0.67659575,
9,CC1CCCCC1,0.7778945840000001,
10,C1CCCCCC1,0.807632638,
11,C=CCCCCC,0.6910465459999999,
12,CC=CCCCC,0.698221579,
13,CCC=CCCC,0.69957881,
14,C=C(C)C(C)(C)C,0.7184981659999999,
15,CC(C)=CC(C)C,0.707845025,
16,CC=CC(C)(C)C,0.6989171609999999,
17,C=CCC(C)(C)C,0.691794565,
18,CC=C(CC)CC,0.701292206,
19,C[C@H]1[C@H](C)CCC1,0.753445728,
20,C[C@@H]1[C@H](C)CCC1,0.753445728,
21,CC1(C)CCCC1,0.754775194,
22,CCC1CCCC1,0.773413296,
23,C[C@H]1C[C@H](C)CC1,0.7576819459999999,
24,C=C(C)CC(C)C,0.697873043,
25,CC1C(C)CCC1,0.753445728,
26,CC1CC(C)CC1,0.7576819459999999,
27,C[C@@H]1C[C@H](C)CC1,0.7576819459999999,
28,CC(C)=CCCC,0.707456138,
29,C=CC(C)CCC,0.693931527,
30,CC=CCC(C)C,0.6960657809999999,
31,C=C(C)C(C)CC,0.7009,0.7009
32,C=CC(C)(C)CC,0.696520455,
33,C=CCC(C)CC,0.6901758990000001,
34,C=CC(CC)CC,0.68777697,
35,C=C(C)CCCC,0.701021393,
36,C=CC(C)C(C)C,0.6895628290000001,
37,CC=C(C)CCC,0.7097373659999999,
38,CC(C)=C(C)CC,0.7157971909999999,
39,C/C=C(C)/C(C)C,0.706139486,
40,CC(C)C=CCC,0.695712137,
41,CCC1(CC)CC1,0.7437186109999999,
42,CCCCC1CC1,0.763065695,
43,C=CCCC(C)C,0.6874085670000001,
44,C=C(CC)C(C)C,0.7224531409999999,
45,CC=CC(C)CC,0.6975932890000001,
46,CC(C1CCC1)C,0.749714917,
47,C=C(CC)CCC,0.726819428,
48,CCCC1CCC1,0.7687263759999999,
49,CC(C1CC1)CC,0.753752028,
50,CCC1C(CC)C1,0.748991753,
51,CC1C(C(C)C)C1,0.73725558,
52,CCCC1C(C)C1,0.7515925609999999,
53,CC(C)CC1CC1,0.748732065,
54,C[C@@H]1[C@@H](C)CCC1,0.753445728,
55,C=C[C@H](C)C(C)C,0.6895628290000001,
56,CC[C@H]1[C@H](CC)C1,0.748991753,
57,CC[C@@H]1[C@H](CC)C1,0.748991753,
58,CC([C@@H]1[C@H](C)C1)C,0.73725558,
59,CCC[C@@H]1[C@H](C)C1,0.7515925609999999,
60,C[C@@H]1C[C@@H](C)CC1,0.7576819459999999,
61,C[C@@H]1CC(C)CC1,0.7576819459999999,
62,C[C@H]1CC(C)CC1,0.7576819459999999,
63,CC1C(C)C(C)C1,0.738808839,
64,CC1(CC)CCC1,0.747910663,
65,CC1C(CC)CC1,0.755758033,
66,CC1CC(CC)C1,0.758300836,
67,CC1[C@@H](C)CCC1,0.753445728,
68,C=CC[C@@H](C)CC,0.6901758990000001,
69,C=C(C)[C@@H](C)CC,0.723509217,
70,C=C[C@H](C)CCC,0.693931527,
71,CC=C[C@@H](C)CC,0.6975932890000001,
72,CC1=CC=CC=C1,0.8593822179999999,
73,C1=CC=CC=CC1,0.8495118770000001,
74,C=CC=C1C=CC1,0.89748863,
75,C=C1C=CCC=C1,0.908081597,
76,CC=C1C=CC=C1,0.856612783,
77,C=C1C=CC=CC1,0.904034221,
78,C=C=C(C)C=C=C,0.836783506,
79,C#CC(C)(C)C#C,0.8387743190000001,
80,C=C1C2C=CC2C1,0.968223444,
81,C12C3CC3C1C=C2,0.9495049609999999,
82,C=CC1(C#C)CC1,0.8150656540000001,
83,C#CC1=CCCC1,0.788316063,
84,C#CCCCC#C,0.772927769,
85,C#CCCC#CC,0.804988629,
86,C=CC#CCC=C,0.810788473,
87,CC1C=CCC=C1,0.797089736,
88,C=CC#CC=CC,0.7925002790000001,
89,C#CC1CC=CC1,0.795237146,
90,C1=CCC#CCC1,0.782608503,
91,C1=CC=CCCC1,0.8255919279999999,
92,CC1=CCCC=C1,0.830951083,
93,CC1=CCC=CC1,0.840211721,
94,CCC1C=CC=C1,0.7886363959999999,
95,CC1=CC=CCC1,0.831249755,
96,C#CC1CCCC1,0.752684005,
97,C=CC=CCC=C,0.78825545,
98,CC1(C)C=CC=C1,0.778734398,
99,CC1=C(C)CC=C1,0.833188934,
100,C1=CCC=CCC1,0.835685993,
101,C=C1CC=CCC1,0.886411836,
102,C#CC(CC)=CC,0.7617413190000001,
103,C=CC=CC=CC,0.786356512,
104,CC1C=CC=CC1,0.799063986,
105,C=C(CCC1)C1=C,0.934059249,
106,CC=C1C=CCC1,0.830159038,
107,C=C(C)C#CCC,0.751241059,
108,C=CC(C=C)C=C,0.801229981,
109,C=C=C(C)C(C)=C,0.798365161,
110,C=C(C)/C=C\C=C,0.815733485,
111,C=C=C(C1CC1)C,0.808616077,
112,C=C(C1(C)C=C1)C,0.80865159,
113,C=CC(C=C)=CC,0.8312597190000001,
114,C=C1C=CCCC1,0.87298956,
115,C=CC#CCCC,0.737872003,
116,CCC1=CC=CC1,0.8123754679999999,
117,CCC1=CCC=C1,0.8306467340000001,
118,C=CCCCC#C,0.758352625,
119,C#CC=CCCC,0.7519691940000001,
120,C=CC1C=CCC1,0.7968371409999999,
121,C=C(CC1)CC1=C,0.953586191,
122,C=C[C@H]1[C@H](C=C)C1,0.781499473,
123,C=C(C)C=CC=C,0.815733485,
124,C#CC=CC(C)C,0.750377205,
125,CC=C=C1CCC1,0.817952538,
126,CC1=CCC(C)=C1,0.8329668809999999,
127,C=CC1=CCCC1,0.873650653,
128,CC1CC=CCC1,0.7947161429999999,
129,CC1C=CCCC1,0.7946166809999999,
130,CC1=CCCCC1,0.8159481409999999,
131,C#CCCCCC,0.7225339559999999,
132,C1=CCCCCC1,0.829158319,
133,CC#CCCCC,0.725112848,
134,C=C1CCCCC1,0.886685712,
135,C=CCCCC=C,0.7194186779999999,
136,C=C(C)CCC=C,0.7411894840000001,
137,CC(C1CC1)=CC,0.781114579,
138,C=C(C)C=C(C)C,0.757014155,
139,CC(C)=C=C(C)C,0.728461237,
140,C=CCC=C(C)C,0.730936943,
141,CC1=C(C)CCC1,0.797353766,
142,CC=C1CCCC1,0.817308338,
143,C=C=CCCCC,0.720307968,
144,C=CC1CCCC1,0.7758937370000001,
145,CCC1C=CCC1,0.7901295490000001,
146,CC1CCC=C1C,0.782165151,
147,CC1(C)CC=CC1,0.7603460040000001,
148,CC1CC=C(C)C1,0.782068573,
149,C[C@@H]1[C@@H](C)C=CC1,0.76607721,
150,CC1(C)C=CCC1,0.7653925709999999,
151,C1(CC2CC2)CC1,0.747614242,
152,C/C=C(C)\C=C/C,0.739328305,
153,CC=CC=CCC,0.726940402,
154,C=C(C)C(C)C=C,0.7321511304999999,0.7321511304999999
155,CC#CC(C)(C)C,0.726536588,
156,C=CC(C)(C)C=C,0.728809545,
157,C=CCC(C)=CC,0.737068487,
158,C=CCCC=CC,0.722638228,
159,C=CC(C)CC=C,0.727102749,
160,C=C(C)C(C)=CC,0.7619020440000001,
161,CCC1=CCCC1,0.805542711,
162,C#CCCC(C)C,0.7171062559999999,
163,C=CC=CCCC,0.745134941,
164,C=C(C1(C)CC1)C,0.794276585,
165,C=C(C)CC(C)=C,0.777575295,
166,C=CC=C(C)CC,0.750857653,
167,C=C(C1CC1)CC,0.824345485,
168,C=C(CC)C(C)=C,0.786790579,
169,CC#CC(C)CC,0.74098905,
170,CC1=C(C)C1(C)C,0.758938375,
171,C=CC=CC(C)C,0.731250304,
172,C#CC(C)CCC,0.728817378,
173,CC#CCC(C)C,0.731518551,
174,CC=C=CC(C)C,0.718270607,
175,C=C=CC(C)(C)C,0.723544121,
176,C#CC(C)(C)CC,0.7361392859999999,
177,C#CCC(C)(C)C,0.7397454640000001,
178,CC(C)=C1CCC1,0.799702024,
179,CC=CCC=CC,0.719153103,
180,CC=CC1(C)CC1,0.7648831309999999,
181,C#CC(CC)CC,0.717450212,
182,CC(C)=C/C=C/C,0.736240012,
183,CCC1CC=CC1,0.7831040659999999,
184,C=CCC=CCC,0.722012386,
185,CC1CC(C)C=C1,0.7609263140000001,
186,C=CCCC1CC1,0.7713289529999999,
187,C=C1CC(C)CC1,0.8384635340000001,
188,CCC1C(C=C)C1,0.752521397,
189,CC=CC1C(C)C1,0.7668954020000001,
190,CC1C(CC=C)C1,0.756850481,
191,CCC=CC1CC1,0.7846988009999999,
192,CC=CCC1CC1,0.7902265209999999,
193,C#CCC(C)CC,0.7292470790000001,
194,C#CC(C)C(C)C,0.732466155,
195,CC(C)=C=CCC,0.725628053,
196,C=C1CC(CC)C1,0.824724041,
197,C=C=CCC(C)C,0.717917902,
198,C=C(C)C/C=C/C,0.7545127359999999,
199,C=C1C(C)C1(C)C,0.778273384,
200,C=C1CC(C)(C)C1,0.7920773040000001,
201,CCC=C=CCC,0.708276685,
202,C=C1C(C)CCC1,0.838491476,
203,C/C=C\CC1CC1,0.7902265209999999,
204,CC1C=C(C)CC1,0.78195012,
205,CC1C(C=CC)C1,0.7668954020000001,
206,CC/C=C\C1CC1,0.7846988009999999,
207,CC/C=C/C1CC1,0.7846988009999999,
208,C=CCC/C=C\C,0.722638228,
209,C=C(C)CC=CC,0.7545127359999999,
210,C/C=C/C/C=C/C,0.719153103,
211,CC(C)=CC=CC,0.736240012,
212,CC=C(C)C=CC,0.739328305,
213,C/C=C/C1(C)CC1,0.7648831309999999,
214,C=C/C=C(C)/CC,0.750857653,
215,CC=C(C1CC1)C,0.781114579,
216,C/C=C/C=C\CC,0.726940402,
217,CC=C[C@@H]1[C@H](C)C1,0.7668954020000001,
218,C/C=C\[C@H]1[C@H](C)C1,0.7668954020000001,
219,C/C=C/[C@@H]1[C@H](C)C1,0.7668954020000001,
220,CC=C[C@H]1[C@H](C)C1,0.7668954020000001,
221,C=C/C=C\CCC,0.745134941,
222,C=CC/C=C\CC,0.722012386,
223,C/C=C\C=C/CC,0.726940402,
224,C/C=C\C/C=C\C,0.719153103,
225,C/C=C\C=C\CC,0.726940402,
226,C/C=C/C/C=C\C,0.719153103,
227,C=CC(C)=C(C)C,0.75506233,
228,CCCCCCCO,0.805509247,
229,CC(O)CCCCC,0.8038044129999999,
230,CCCC(O)CCC,0.809090757,
231,CCC(O)CCCC,0.8101723390000001,
232,CC(O)(C)C(C)(C)C,0.82582987,
233,CC(C)C(O)(C)CC,0.830835758,
234,CCC(O)(CC)CC,0.822875307,
235,CCC(O)(C)CCC,0.8285742909999999,
236,CC(C)C(O)C(C)C,0.824873732,
237,CCC(O)C(C)CC,0.807804245,
238,CC(C)C(O)CCC,0.810776539,
239,CCC(O)CC(C)C,0.8091300709999999,
240,CC(O)(C)CC(C)C,0.8226346640000001,
241,CC(O)(C)CCCC,0.8060973029999999,
242,CC(O)CCC(C)C,0.79814534,
243,CC(C)CCCCO,0.8061470340000001,
244,CC(C)(OCC)CC,0.752977562,
245,CC(O)C(C)CCC,0.80726702,
246,CCCC(C)(C)CO,0.811679342,
247,CC(C)(C)CCCO,0.8081013690000001,
248,CC(C)(C)C(O)CC,0.8268776309999999,
249,CC(O)(C)C(C)CC,0.825434069,
250,CC(C)CC(C)CO,0.809219543,
251,CCC(C)C(C)CO,0.809629775,
252,CCCC(C)CCO,0.809290269,
253,CC(OC(C)(C)C)C,0.7523988009999999,
254,CC(OC(C)CC)C,0.7635498540000001,
255,CCC(OCC)CC,0.7602327459999999,
256,CCCCC(C)CO,0.8103048620000001,
257,CCCCCCOC,0.772887203,
258,CC(O)C(CC)CC,0.808761939,
259,CCCCCOCC,0.756098169,
260,CCC(C)(CC)CO,0.805399585,
261,CCC(C)CCCO,0.80725029,
262,CC(OCC)CCC,0.756398619,
263,CC(O)CC(C)(C)C,0.8044085320000001,
264,CC(C)C(C)CCO,0.813280013,
265,CC(C)CCOCC,0.75653265,
266,CC(O)CC(C)CC,0.807182817,
267,CCCC(CC)CO,0.810125552,
268,CCCCOC(C)C,0.755472721,
269,CCCCOCCC,0.7538682309999999,
270,CC(C)COCCC,0.761693873,
271,CC(C)(C)C(C)CO,0.8142561220000001,
272,CC(O)C(C)(C)CC,0.806373013,
273,CC(O)C(C)C(C)C,0.807889266,
274,CC(C)C(CC)CO,0.8125729540000001,
275,CC(OCCC)(C)C,0.75072279,
276,CC(OCCC)CC,0.760623672,
277,CC(C)(OC)CCC,0.7663193909999999,
278,CCC(OC)CCC,0.7717677540000001,
279,CCC(CC)CCO,0.80686187,
280,C[C@H](O)CCCCC,0.8038044129999999,
281,CCC(C)(C)CCO,0.8113036109999999,
282,CCC(CC)COC,0.773775487,
283,CC(C)C(C)COC,0.7718432609999999,
284,CC(OC)CCCC,0.7719515809999999,
285,CC(OC(CC(C)(C)C)C)CC(C)(C)C,0.818701462,
286,CC(C)CCCOC,0.770609724,
287,CC(C)(OC)C(C)C,0.7673817559999999,
288,CC(C)(C)C(OC)C,0.769250691,
289,CC(C)(C)CCOC,0.77298095,
290,CC(OC(C)(CC(C)C)C)(CC(C)C)C,0.816636247,
291,CCC(C)(OC)CC,0.762184575,
292,CCC(C)CCOC,0.77463044,
