Family,Name,SMILES,Set,T (K),Exp. Density (Kg.m-3),Pred. Density (Kg.m-3),A,B,C,D,X2,X3,X4,X5,X6,X7,X8,X10,X12,X14,X15,X16,X17,X19,X21,X22,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26
Alcohols,1-butanol,CCCCO,Training,186.1499939,891.1639968,890.4355626,74.1216,573.0603773,4385772.556,0.255787214,3,2,87.63708806,124.47203,0.84579486,0.64892133,-0.0154269,8.06625,0.000692125,2.209641,22.609537,3.96,262.639419,-0.047335,0.726227,0.384819,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alcohols,1-butanol,CCCCO,Training,193.1499939,885.382512,885.1257126,74.1216,573.0603773,4385772.556,0.255787214,3,2,87.63708806,124.47203,0.84579486,0.64892133,-0.0154269,8.06625,0.000692125,2.209641,22.609537,3.96,262.639419,-0.047335,0.726227,0.384819,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alcohols,1-butanol,CCCCO,Training,203.1499939,877.5256224,877.563649,74.1216,573.0603773,4385772.556,0.255787214,3,2,87.63708806,124.47203,0.84579486,0.64892133,-0.0154269,8.06625,0.000692125,2.209641,22.609537,3.96,262.639419,-0.047335,0.726227,0.384819,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alcohols,1-butanol,CCCCO,Validation,213.1499939,869.5946112,870.0245923,74.1216,573.0603773,4385772.556,0.255787214,3,2,87.63708806,124.47203,0.84579486,0.64892133,-0.0154269,8.06625,0.000692125,2.209641,22.609537,3.96,262.639419,-0.047335,0.726227,0.384819,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alcohols,1-butanol,CCCCO,Training,223.1499939,862.1824512,862.501352,74.1216,573.0603773,4385772.556,0.255787214,3,2,87.63708806,124.47203,0.84579486,0.64892133,-0.0154269,8.06625,0.000692125,2.209641,22.609537,3.96,262.639419,-0.047335,0.726227,0.384819,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alcohols,1-butanol,CCCCO,Training,233.1499939,854.6961696,854.9842661,74.1216,573.0603773,4385772.556,0.255787214,3,2,87.63708806,124.47203,0.84579486,0.64892133,-0.0154269,8.06625,0.000692125,2.209641,22.609537,3.96,262.639419,-0.047335,0.726227,0.384819,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alcohols,1-butanol,CCCCO,Training,243.1499939,847.0616448,847.4610006,74.1216,573.0603773,4385772.556,0.255787214,3,2,87.63708806,124.47203,0.84579486,0.64892133,-0.0154269,8.06625,0.000692125,2.209641,22.609537,3.96,262.639419,-0.047335,0.726227,0.384819,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alcohols,1-butanol,CCCCO,Training,253.1499939,839.5012416,839.9163785,74.1216,573.0603773,4385772.556,0.255787214,3,2,87.63708806,124.47203,0.84579486,0.64892133,-0.0154269,8.06625,0.000692125,2.209641,22.609537,3.96,262.639419,-0.047335,0.726227,0.384819,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alcohols,1-butanol,CCCCO,Validation,263.1499939,831.7925952,832.3322697,74.1216,573.0603773,4385772.556,0.255787214,3,2,87.63708806,124.47203,0.84579486,0.64892133,-0.0154269,8.06625,0.000692125,2.209641,22.609537,3.96,262.639419,-0.047335,0.726227,0.384819,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alcohols,1-butanol,CCCCO,Training,273.1499939,824.3063136,824.6875723,74.1216,573.0603773,4385772.556,0.255787214,3,2,87.63708806,124.47203,0.84579486,0.64892133,-0.0154269,8.06625,0.000692125,2.209641,22.609537,3.96,262.639419,-0.047335,0.726227,0.384819,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
