1,Methane,868 [23],859,?9,780,?88,730,?138,750,?118
2,Propane,723 [22],726,3,680,?43,640,?83,673,?50
3,Butane,645 [4],660,15,632,?13,611,?34,643,?2
4,2-Methylpropane,"733 [22, 23]",734,1,701,?32,648,?85,680,?53
5,Pentane,538 [4],506,?32,586,48,581,43,614,76
6,"2,2-Dimethylpropane","723 [22, 23]",726,3,749,26,709,?14,707,?16
7,2-Methylbutane,"693 [22, 23]",726,33,652,?41,619,?74,650,?43
8,Hexane,497 [23],498,1,547,50,552,54,587,90
9,"2,2-Dimethylbutane",678 [23],718,40,702,24,684,5,677,?1
10,2-Methylpentane,"579 [22, 23]",556,?23,605,26,589,10,621,42
11,3-Methylpentane,573 [22],556,?17,605,32,589,16,621,48
12,Heptane,486 [4],489,3,515,29,522,36,561,75
13,"3,3-Dimethylpentane",610 [23],612,2,653,43,656,46,647,37
14,"2,4-Dimethylpentane","610 [22, 23]",612,2,624,14,597,?13,628,18
15,"2,3-Dimethylpentane","610 [22, 23]",612,2,624,14,597,?13,628,18
16,2-Methylhexane,553 [23],548,?5,563,9,560,6,593,40
17,3-Methylhexane,"553 [22, 23]",548,?5,563,9,560,6,593,40
18,"2,2,3-Trimethylbutane",723 [23],710,?13,722,?1,691,?32,685,?39
19,Octane,483 [23],481,?2,492,9,495,12,539,56
20,"2,3,4-Trimethylpentane",700 [23],701,1,644,?56,606,?95,635,?65
21,"3,4-Dimethylhexane",588 [23],604,16,580,?8,568,?20,600,12
22,"2,2,4-Trimethylpentane",683 [23],701,18,673,?10,664,?19,655,?29
23,"3,3-Dimethylhexane",610 [23],604,?6,606,?4,627,17,618,8
24,"2,3-Dimethylhexane",588 [23],604,16,580,?8,568,?20,600,12
25,"2,4-Dimethylhexane",588 [23],604,16,580,?8,568,?20,600,12
26,"2,5-Dimethylhexane",588 [23],604,16,580,?8,568,?20,600,12
27,"2,3,3-Trimethylpentane",703 [23],701,?2,673,?30,664,?39,655,?49
28,2-Methylheptane,520 [23],503,?17,527,7,530,10,567,47
29,3-Methylheptane,518 [22],499,?19,527,9,530,12,567,49
30,"2,2-Dimethylhexane",610 [22],604,?6,606,?4,627,17,618,8
31,Nonane,485 [23],473,?5,478,0,469,?9,520,42
32,4-Methyloctane,493 [23],495,2,500,7,502,9,544,51
33,2-Methyloctane,493 [23],495,2,500,7,502,9,544,51
34,3-Methyloctane,493 [23],495,2,500,7,502,9,544,51
35,"2,2,3,4-Tetramethylpentane",703 [23],693,?10,694,?9,671,?32,662,?41
36,"2,2,4,4-Tetramethylpentane",703 [23],693,?10,723,20,722,19,681,?22
37,"2,2,3,3-Tetramethylpentane",703 [22],693,?10,723,20,722,19,681,?22
38,"2,3,3,4-Tetramethylpentane",703 [22],693,?10,694,?9,671,?32,662,?41
39,Tetraethylmethane,563 [23],531,?32,563,0,598,35,590,27
40,"2,4-Dimethyl-3-ethylpentane",663 [23],693,30,598,?66,576,?87,607,?56
41,"2,2,5-Trimethylhexane",623 [22],596,?27,625,2,635,12,625,2
42,"2,2-Dimethylheptane",588 [22],596,8,563,?25,598,10,590,2
43,Decane,478 [23],465,?13,473,?5,446,?32,505,27
44,3-Methylnonane,487 [23],486,?1,483,?4,476,?11,524,37
45,2-Methylnonane,487 [22],486,?1,483,?4,476,?11,524,37
46,4-Methylnonane,485 [22],486,1,483,?2,476,?9,524,39
47,5-Methylnonane,485 [22],486,1,483,?2,476,?9,524,39
48,"3,3,5-Trimethylheptane",655 [22],685,30,580,?75,606,?49,597,?58
49,"2,2,3,3-Tetramethylhexane",714 [22],685,?29,674,?40,698,?16,651,?63
50,"2,2,5,5-Tetramethylhexane",752 [22],685,?67,674,?78,698,?54,651,?101
51,"2,2-Dimethyloctane",571 [22],588,17,528,?43,568,?3,565,?6
52,Undecane,513 [23],515,2,476,?37,427,?86,495,?18
53,3-Methylundecane,480 [22],470,?10,474,?6,432,?48,497,17
54,Dodecane,473 [23],506,33,484,11,413,?60,490,17
55,Tridecane,475 [23],498,23,496,21,404,?71,491,16
56,Tetradecane,493 [23],490,?3,507,14,402,?91,499,6
57,Pentadecane,475 [23],482,7,514,39,407,?68,514,39
58,Heptadecane,475 [23],465,?10,492,17,445,?30,569,94
59,Octadecane,508 [23],475,?33,452,?56,480,?29,609,101
60,Nonadecae,478 [23],475,?3,383,?95,526,48,660,182
61,Eicosane,"475 [22, 23]",475,0,276,?199,587,112,721,246
62,Henicosane,"475 [22, 23]",475,0,124,?351,662,187,794,319
63,Tricosane,475 [22],475,0,?358,,863,388,974,499
64,n-Tetracosane,475 [22],475,0,?709,,992,517,"1,084",609
65,Pentacosane,475 [22],475,0,"?1,149",,"1,141",666,"1,207",732
66,Hexacosane,475 [22],475,0,"?1,690",,"1,312",837,"1,344",869
67,Heptacosane,475 [22],475,0,"?2,346",,"1,508","1,033","1,497","1,022"
68,n-Octacosane,475 [22],475,0,"?3,131",,"1,729","1,254","1,665","1,190"
69,Nonacosane,475 [22],475,0,"?4,061",,"1,977","1,502","1,849","1,374"
70,Cyclopropane,771 [23],768,?3,668,"?1,03",640,?131,662,?110
71,Cyclobutane,"700 [22, 23]",701,1,629,?71,606,?94,632,?68
72,Cyclopentane,653 [23],635,?18,591,?62,572,?81,604,?49
73,Cyclohexane,518 [23],481,?37,558,40,538,20,577,59
74,Methylcyclopentane,588 [23],557,?31,602,14,555,?33,603,14
75,Cycloheptane,428 [22],473,45,529,101,505,77,553,125
76,Methylcyclohexane,533 [23],549,16,568,34,522,?11,576,43
77,Ethylcyclopentane,"533 [22, 23]",549,16,560,27,526,?7,576,43
78,Cyclooctane,430 [22],465,35,506,76,475,45,532,102
79,n-Propylcyclopentane,"542 [22, 23]",540,?2,525,?17,498,?44,552,10
80,"1,1-Dimethylcyclohexane",577 [23],581,4,813,236,775,198,545,?33
81,"cis-1,2-Dimethylcyclohexane",577 [23],581,4,577,0,506,?71,575,?2
82,"trans-1,2-Dimethylcyclohexane","577 [22, 23]",581,4,577,0,506,?71,575,?2
83,"cis-1,3-Dimethylcyclohexane",579 [23],581,2,577,?2,506,?73,575,?4
84,"trans-1,3-Dimethylcyclohexane",579 [22],581,4,577,0,506,?71,575,?2
85,Isopropylcyclohexane,566 [23],532,?24,545,?11,502,?55,558,1
86,Butylcyclopentane,523 [22],532,9,499,?24,472,?51,531,7
87,Adamantane,560 [22],531,?29,562,2,484,?76,554,?6
88,"1,3-Dimethyladamantane",615 [22],606,?9,486,?129,416,?199,506,?109
89,n-Butylcyclohexane,519 [23],524,5,484,?35,446,?73,513,?6
90,tert-Butylcyclohexane,613 [23],565,?49,586,?28,567,?46,580,?33
91,"1,2,3,4-Tetramethylcyclohexane",643 [22],565,?79,598,?45,477,?166,573,?70
92,"1,1-Diethylcyclohexane",577 [22],565,?13,739,162,799,222,509,?68
93,"trans-1,4-Diethylcyclohexane",577 [22],565,?13,509,?68,456,?121,530,?47
94,Bicyclohexyl,"518 [22, 23]",549,31,479,?39,413,?106,496,?22
95,"2,4-Dicyclohexyl-2-methylpentane",498 [23],500,1,473,?25,411,?87,490,?9
96,Acetylene,"578 [22, 23]",585,7,578,0,539,?39,585,7
97,Ethylene,"723 [22, 23]",747,24,803,80,737,14,706,?17
98,Propyne,613 [22],577,?37,613,0,,,579,?34
99,Propene,728 [23],739,11,708,?20,627,?101,656,?72
100,"1,3-Butadiene",693 [23],656,?38,687,?6,585,?109,610,?83
101,Ethylacetylene,592 [22],568,?24,570,?22,,,555,?37
102,Butene,657 [23],614,?43,659,2,598,?59,626,?31
103,cis-2-Butene,"598 [22, 23]",614,16,598,0,504,?94,607,9
104,trans-2-Butene,"597 [22, 23]",614,17,598,1,504,?93,607,10
105,Isobutylene,"738 [22, 23]",730,?8,668,?70,624,?114,646,?92
106,2-Methyl-1-buten-3-yne,559 [22],555,?4,560,1,,,535,?24
107,1-Penten-4-yne,541 [22],555,14,553,12,,,522,?19
108,1-Penten-3-yne,559 [22],555,?4,630,71,,,537,?22
109,3-Methyl-1-butyne,568 [22],560,?8,587,19,,,560,?8
110,1-Pentyne,555 [22],560,5,533,?22,,,533,?22
111,2-Pentyne,575 [22],560,?15,604,29,,,550,?25
112,"2,3,3-Trimethyl-1-butene",656 [4],589,?67,690,34,668,12,650,?6
113,2-Methylbutadiene(isoprene),493 [23],589,96,647,154,581,88,601,108
114,1-Pentene,546 [23],548,1,612,65,568,22,598,52
115,cis-2-Pentene,561 [23],548,?14,557,?4,478,?83,580,19
116,trans-2-Pentene,"558 [22, 23]",548,?11,557,?1,478,?80,580,22
117,Isopentene,"638 [22, 23]",606,?32,680,42,606,?32,633,?5
118,2-Methyl-1-butene,"638 [22, 23]",606,?32,620,?18,594,?44,617,?21
119,2-Methyl-2-butene,638 [22],606,?32,564,?74,501,?137,598,?40
120,1-Hexyne,541 [22],552,11,505,?36,,,515,?26
121,3-Hexyne,554 [22],552,?2,562,8,,,529,?25
122,2-Hexyne,554 [22],552,?2,562,8,,,529,?25
123,"1,5-Hexadiene",592 [22],581,?11,592,0,526,?66,558,?34
124,"3-Methylpenta-1,4-diene",586 [22],581,?5,658,72,563,?23,589,3
125,"(3E)-hexa-1,3-diene",587 [22],581,?6,541,?46,445,?142,543,?44
126,1-Hexene,538 [23],539,1,568,30,539,0,572,34
127,cis-2-Hexene,555 [23],539,?16,523,?32,454,?101,556,1
128,trans-2-Hexene,528 [4],539,11,523,?5,454,?74,556,28
129,cis-3-Hexene,553 [22],539,?14,523,?30,454,?99,556,3
130,trans-3-Hexene,549 [23],539,?10,523,?26,454,?95,556,7
131,Isohexene,577 [4],598,21,631,54,576,?1,605,28
132,"2,3-Dimethyl-1-butene",643 [23],656,13,640,?3,602,?41,624,?19
133,"2,3-Dimethyl-2-butene",674 [23],598,?77,535,?140,497,?177,590,?85
134,"3,3-Dimethyl L-1-butene",630 [22],598,?33,729,99,672,42,660,30
135,2-Methyl-1-pentene,579 [4],598,19,576,?3,564,?15,589,10
136,3-Methyl-1-pentene,625 [22],598,?28,631,6,576,?49,605,?20
137,2-Ethyl-1-butene,588 [23],598,9,576,?12,564,?24,589,1
138,1-Heptene,533 [23],531,?2,532,?1,510,?23,548,15
139,cis-2-Heptene,512 [22],531,19,497,?15,434,?79,534,22
140,trans-2-Heptene,517 [22],531,14,497,?20,434,?84,534,17
141,cis-3-Heptene,563 [22],531,?32,497,?66,434,?129,534,?29
142,trans-3-Heptene,577 [22],531,?46,497,?80,434,?143,534,?43
143,2-Methyl-1-hexene,543 [22],589,46,538,?5,535,?8,564,21
144,2-Ethyl-1-pentene,600 [22],589,?11,538,?62,535,?65,564,?36
145,3-Ethyl-1-pentene,600 [22],589,?11,586,?14,546,?54,578,?22
146,"1,7-Octadiene",503 [23],564,61,519,16,472,?31,517,14
147,1-Octyne,517 [23],535,18,475,?42,,,493,?24
148,1-Octene,523 [23],523,0,504,?19,484,?39,527,4
149,cis-2-Octene,507 [22],523,16,481,?26,418,?89,516,9
150,trans-2-Octene,517 [22],523,6,481,?36,418,?99,516,?1
151,cis-3-Octene,538 [22],523,?15,481,?57,418,?120,516,?22
152,trans-3-Octene,548 [22],523,?25,481,?67,418,?130,516,?32
153,cis-4-Octene,539 [22],523,?16,481,?58,418,?121,516,?23
154,6-Methyl-1-heptene,547 [22],581,34,546,?1,518,?29,554,7
155,2-Ethyl-1-hexene,600 [22],581,?19,508,?92,506,?94,541,?59
156,"2,4,4-Trimethyl-2-pentene",581 [23],581,0,582,1,545,?36,602,21
157,"2,4,4-Trimethylpentene","693 [22, 23]",639,?54,641,?52,640,?53,621,?72
158,3-Ethylhex-1-ene,552 [22],581,29,546,?6,518,?34,554,2
159,"2,3-Dimethylhexene",590 [22],581,?9,553,?37,543,?47,570,?20
160,4-Methylhept-1-ene,548 [22],581,33,546,?2,518,?30,554,6
161,1-Nonene,"510 [22, 23]",515,4,485,?25,459,?52,511,1
162,"Deca-1,9-diene",565 [22],548,?17,479,?86,429,?136,494,?71
163,Dec-1-yne,497 [22],519,22,479,?18,,,493,?4
164,1-Decene,508 [22],506,?2,475,?33,437,?71,498,?10
165,1-Undecene,510 [23],498,?12,474,?37,420,?90,491,?19
166,Dodecene,528 [23],515,?13,479,?49,408,?120,490,?38
167,1-Tridecene,510 [23],515,5,489,?21,402,?108,495,?15
168,1-Tetradecene,508 [23],515,7,501,?7,403,?105,507,?1
169,1-Pentadecene,510 [23],515,5,511,1,412,?98,526,16
170,1-Hexadecene,513 [23],515,2,514,1,430,?83,554,41
171,1-Heptadecene,510 [23],515,5,505,?5,459,?51,591,81
172,1-Octadecene,523 [23],515,?8,478,?45,499,?24,637,114
173,1-Nonadecene,510 [23],515,5,426,?84,552,41,694,184
174,1-Eicosene,510 [23],515,5,342,?168,618,108,762,251
175,(2E)Icos-2-ene,499 [22],482,?17,171,?328,943,444,813,314
176,Cyclopentene,"668 [22, 23]",647,?21,668,0,655,?13,703,34
177,Cyclohexene,"583 [22, 23]",639,56,629,46,622,39,673,90
178,"1-Methyl-1,3-cyclopentadiene",718 [22],681,?37,475,?243,722,4,707,?11
179,2-Norbornene,"778 [22, 23]",672,?106,671,?107,627,?151,688,?90
180,Vinylcyclohexane,543 [22],664,121,657,114,562,19,625,82
181,Benzene,771 [23],722,?49,827,56,762,?10,786,15
182,Toluene,693 [23],714,19,767,72,757,62,774,79
183,Ethylbenzene,"705 [22, 23]",706,3,723,20,737,34,746,43
184,p-Xylene,802 [22],807,5,789,?13,752,?50,761,?41
185,o-Xylene,737 [22],726,?11,756,19,752,15,761,24
186,m-Xylene,738 [22],726,?12,798,60,752,14,761,23
187,Cumene,693 [23],697,4,742,49,743,49,753,60
188,m-Ethyltoluene,753 [23],718,?35,760,6,732,?22,733,?21
189,"1,2,3-Trimethylbenzene","743 [22, 23]",718,?25,788,45,748,4,748,5
190,"1,2,4-Trimethylbenzene","788 [22, 23]",718,?40,779,20,748,?11,748,?10
191,"1,3,5-Trimethylbenzene",833 [23],799,?34,819,?14,748,?86,748,?85
192,o-Ethyltoluene,713 [23],718,5,709,?4,732,18,733,19
193,p-Ethyltoluene,808 [23],799,?9,748,?60,732,?77,733,?76
194,1-Methyl-2-ethylbenzene,713 [23],718,5,709,?4,732,18,733,19
195,tert-Butylbenzene,718 [23],689,?29,822,104,783,64,778,60
196,m-Diethylbenzene,"723 [22, 23]",709,?14,714,?9,708,?15,703,?20
197,o-Diethylbenzene,668 [23],709,41,661,?8,708,40,703,35
198,Naphthalene,813 [4],814,1,827,14,801,?12,808,?5
199,Butylbenzene,685 [22],689,6,626,?57,689,6,687,3
200,sec-Butylbenzene,688 [23],689,1,695,6,721,32,724,36
201,Isobutylbenzene,698 [23],689,?9,695,?4,721,22,724,26
202,"1,2,3,5-Tetramethylbenzene",700 [23],709,9,813,113,743,42,735,35
203,o-Cymene,709 [23],709,0,729,20,737,28,740,31
204,m-Cymene,709 [23],709,0,777,68,737,28,740,31
205,p-Cymene,709 [23],709,0,766,57,737,28,740,31
206,p-Diethylbenzene,"703 [22, 23]",709,6,701,?2,708,5,703,0
207,"1,2,3,4-Tetramethylbenzene",700 [22],709,9,806,106,743,43,735,35
208,1-Methylnaphthalene,"802 [22, 23]",806,4,793,?9,799,?3,796,?6
209,2-Methylnaphthalene,761 [23],806,45,793,32,799,38,796,35
210,p-tert-Butyltoluene,783 [23],803,19,803,20,779,?4,765,?18
211,"2,3-Dimethyl-1-propylbenzene",738 [22],701,?37,700,?38,702,?36,689,?49
212,Biphenyl,843 [22],839,?4,799,?44,805,?38,833,?10
213,1-Ethylnaphthalene,754 [4],797,43,754,0,788,34,770,16
214,Cyclohexylbenzene,813 [22],714,?99,605,?208,633,?180,644,?169
215,"3,5-Dimethyl-tert-butylbenzene",833 [23],794,?39,826,?7,775,?58,752,?81
216,Diisopropylbenzene,721 [23],693,?28,701,?20,721,0,718,?4
217,m-Diisopropylbenzene,722 [23],693,?29,753,30,721,?1,718,?5
218,p-(t-Butyl)ethylbenzene,553 [22],551,?2,767,214,763,210,737,184
219,"1,4-Di-tert-butylbenzene",496 [22],535,39,815,319,798,302,769,273
220,"1,2,3,4,5-Pentamethylbenzene",703 [22],701,?2,824,121,737,34,722,19
221,"1,2,3-Trimethyl-4-ethylbenzne",766 [22],701,?65,771,5,720,?46,705,?61
222,"1,2,4-Trimethyl-3-ethylbenzene",766 [22],701,?65,771,5,720,?46,705,?61
223,"1,2,4-Trimethyl-5-ethylbenzene",766 [22],701,?65,771,5,720,?46,705,?61
224,"1,2,4-Triethylbenzene",640 [22],632,?8,639,?1,676,36,659,19
225,"1,2,3-Triethylbenzene",640 [22],632,?8,652,12,676,36,659,19
226,Diphenylmethane,"758 [22, 23]",750,?8,762,4,797,39,811,53
227,Anthracene,"813 [22, 23]",764,?49,813,0,809,?4,827,14
228,"1,1-Diphenylethane","713 [22, 23]",742,28,779,66,799,86,817,104
229,"1,2-Diphenylethane",753 [22],742,?12,717,?37,785,32,786,33
230,2-Ethylnaphthalene,750 [22],716,?34,754,4,788,38,770,20
231,1-Butylnaphthalene,"633 [22, 23]",619,?14,658,25,757,124,712,79
232,1-Nonylnaphthalene,576 [22],578,2,485,?91,633,57,569,?7
233,1-Decylnaphthalene,567 [22],569,2,475,?92,604,37,545,?22
234,Naphthacene,830 [22],856,26,785,?45,784,?46,844,14
235,"1,2,3,5-Tetraethylbenzene",598 [22],616,18,643,45,641,43,616,18
236,Pentaethylbenzene,566 [22],599,33,622,56,605,39,577,11
237,Hexaethylbenzene,541 [22],583,42,566,25,568,27,542,1
238,p-Terphenyl,808 [22],814,6,828,19,804,?4,866,58
239,Ethynylbenzene,763 [22],789,26,655,?108,,,648,?115
240,Styrene,753 [23],747,?6,749,?4,727,?26,729,?24
241,2-Vinyltoluene,767 [23],759,?8,736,?31,721,?46,716,?52
242,3-Vinyltoluene,762 [23],759,?3,782,20,721,?41,716,?47
243,4-Vinyltoluene,848 [23],840,?8,772,?76,721,?127,716,?133
244,Isopropenylbenzene,718 [23],739,21,711,?7,724,6,720,1
245,cis-1-Propenylbenzene,848 [22],739,?109,639,?209,615,?233,679,?169
246,trans-1-Propenylbenzene,848 [22],739,?109,639,?209,615,?233,679,?169
247,2-Ethyl-1-vinylbenzene,634 [22],650,16,688,54,697,63,685,51
248,3-Ethyl-1-vinylbenzene,657 [22],650,?7,740,83,697,40,685,28
1,Ethane,788 [23],793,4,729,?59,669,?120,703,?85
2,"2,3-Dimethylbutane",693 [23],718,25,672,?21,627,?66,658,?35
3,"2,2-Dimethylpentane",610 [23],612,2,653,43,656,46,647,37
4,"2,2,3-Trimethylpentane",703 [23],701,?2,673,?30,664,?39,655,?49
5,4-Methylheptane,510 [22],503,?7,527,17,530,20,567,57
6,"2,6-Dimethylheptane",553 [22],596,43,541,?12,538,?15,574,21
7,Hexadecane,475 [23],473,?2,511,36,421,?54,537,62
8,Docosane,475 [22],475,0,?84,,754,279,878,403
9,Ethylcyclohexane,"535 [22, 23]",540,5,531,?4,494,?41,552,17
10,Propylcyclohexane,"521 [22, 23]",532,11,503,?18,469,?52,531,10
11,Cyclododecane,503 [23],432,?72,474,?29,403,?101,490,?14
12,Dicyclopentadiene,783 [22],731,?52,714,?69,647,?136,745,?39
13,Dimethylacetylene,596 [22],568,?28,651,55,,,573,?23
14,Non-1-yne,506 [22],527,21,473,?33,,,490,?16
15,3-Methyl-1-hexene,578 [22],589,11,586,8,546,?32,578,0
16,trans-4-Octene,552 [22],523,?29,481,?71,418,?134,516,?36
17,"(3E)-2-methylpenta-1,3-diene",581 [22],581,0,548,?33,464,?117,558,?23
18,Triacont-1-ene,524 [22],515,?9,"?4,512",,"2,388","1,864","2,174","1,650"
19,Cyclododecene,531 [23],590,58,479,?53,436,?95,520,?11
20,"1,4-Diisopropylbenzene",722 [22],693,?29,741,19,721,?1,718,?4
21,Propylbenzene,729 [22],697,?32,674,?55,714,?15,717,?13
22,"1,2,4,5-Tetramethylbenzene",700 [22],709,9,806,106,743,43,735,35
23,1-Propylnaphthalene,690 [22],708,18,707,17,774,84,741,51
24,o-Terphenyl,830 [22],814,11,815,12,804,1,866,63
25,1-Ethyl-4-vinylbenzene,635 [22],650,15,728,93,697,62,685,50
26,m-Terphenyl,828 [22],814,?14,828,0,804,?24,866,38
,The rms deviation,,,27,,47a,,391,,335
