NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),Density (g/mL),Boiling Point (K)
1,"2,4-Dimethylpentane",CC(C)CC(C)C,86.31722162,85.29243283,18.9641474,29749.93551,44193.53819,20.16366064,0.673173879,349.6899121
2,Heptane,CCCCCCC,2.100057728,5.788349338,15.4920682,30434.0191,44842.40477,13.17900193,0.678688381,365.9244034
3,"2,2,3-Trimethylbutane",CC(C)(C)C(C)C,106.3808394,100.7893455,31.33223059,29928.10179,44024.11931,27.54254546,0.679811482,352.2737381
4,"3,3-Dimethylpentane",CCC(C)(C)CC,88.93513016,91.98995867,18.10594387,30283.40019,44476.16394,22.83393278,0.68089056,357.4088457
5,"2,3-Dimethylpentane",CC(C)C(C)CC,88.75300065,87.96468304,24.65770723,29868.56685,44073.29329,17.49814896,0.677702178,353.8309579
6,3-Methylhexane,CCC(C)CCC,52.16916027,61.95158563,17.53132469,30361.12278,44560.74987,10.98215387,0.681342277,360.4468525
7,"2,2-Dimethylpentane",CC(C)(C)CCC,89.74905693,89.13388188,22.79273056,30453.0113,44624.69862,26.31268397,0.68242503,354.8640518
8,2-Methylhexane,CC(C)CCCC,54.13653513,53.70235238,16.07754385,30275.7041,44523.51621,11.9471569,0.679993556,359.9750601
9,3-Ethylpentane,CCC(CC)CC,55.88975665,66.18899824,10.88489358,30088.609,44470.58526,12.13421938,0.67659575,359.0390012
10,Methylcyclohexane,CC1CCCCC1,71.01695614,68.96624767,36.86513069,33821.6648,43478.46804,8.098916668,0.777894584,375.1414203
11,Cycloheptane,C1CCCCCC1,64.66203023,54.91974086,28.91345837,34937.7171,43259.41705,5.097314305,0.807632638,379.8303233
12,1-Heptene,C=CCCCCC,52.64468976,49.64137591,19.08317301,31058.07314,44943.53287,12.86394919,0.691046546,370.4636376
13,2-Heptene,CC=CCCCC,77.36886311,57.38033198,36.43191647,30913.01896,44273.93807,11.56349994,0.698221579,369.6493371
14,3-Heptene,CCC=CCCC,81.78048682,72.6514287,33.90128369,30933.19368,44216.88197,11.4644914,0.69957881,369.127638
15,"2,3,3-Trimethyl-1-butene",C=C(C)C(C)(C)C,106.9461764,89.91094623,69.61783672,31524.89336,43876.0944,30.81153679,0.718498166,363.9147466
16,"2,4-Dimethyl-2-pentene",CC(C)=CC(C)C,89.4562786,83.33855762,58.66733758,31197.26937,44073.58711,18.54922473,0.707845025,359.9151811
17,"4,4-Dimethylpent-2-ene",CC=CC(C)(C)C,106.5739347,91.23924453,59.80793871,30625.71077,43818.79928,24.42216336,0.698917161,359.9544065
18,"4,4-Dimethyl-1-pentene",C=CCC(C)(C)C,106.723894,90.32819861,36.20128402,30146.01809,43576.5466,36.13451789,0.691794565,356.8124897
19,3-Ethyl-2-pentene,CC=C(CC)CC,92.89367167,81.75939988,61.09075936,31052.9653,44279.63842,10.46288773,0.701292206,366.5594151
20,"Cyclopentane, 1,2-dimethyl-, (1R,2R)-rel-",C[C@H]1[C@H](C)CCC1,81.61499086,76.83966868,41.4783488,32526.66329,43170.54579,14.9986266,0.753445728,367.9951537
21,"cis-1,2-Dimethylcyclopentane",C[C@@H]1[C@H](C)CCC1,81.61499086,76.83966868,41.4783488,32526.66329,43170.54579,14.9986266,0.753445728,367.9951537
22,"1,1-Dimethylcyclopentane",CC1(C)CCCC1,94.42796295,87.96040578,34.92615507,33067.19171,43810.64979,14.28220033,0.754775194,369.2444652
23,Ethylcyclopentane,CCC1CCCC1,63.29467,63.53888546,35.1180193,33675.40881,43541.2851,8.359703964,0.773413296,374.4534175
24,"trans-1,3-Dimethylcyclopentane",C[C@H]1C[C@H](C)CC1,83.05074247,75.27397442,39.54618053,32813.31463,43307.50497,16.18726677,0.757681946,364.757799
