RON_Molecules,Experiment,SMILES
n-Butylbenzene,104.4,CCCCc1ccccc1
"1,2,3,4-Tetramethylbenzene",105.3,Cc1c(C)ccc(c1C)C
1-Phenylpentane,89.2,CCCCCc1ccccc1
1-Methyl-2-allylbenzene,98.6,C=CCc1ccccc1C
"1,2,3,4-Tetrahydronaphthalene",96.4,C1CCc2c(C1)cccc2
sec-Butylcyclohexane,51,CCC(C1CCCCC1)C
1-Methyl-2-n-propylcyclohexane (cis),30.4,CCC[C@H]1CCCC[C@H]1C
Cyclo-octane,72.1,C1CCCCCCC1
"1,1-Dimethylcyclopentane",92.3,CC1(C)CCCC1
iso-Propylcyclopentane,81.1,CC(C1CCCC1)C
iso-Butylcyclopentane,33.4,CC(CC1CCCC1)C
n-Propylcyclohexane,17.8,CCCC1CCCCC1
Cyclohexene,83.9,C1CCC=CC1
"4,4-Dimethylcyclohexene",96.2,CC1(C)CCC=CC1
1-Octyne,50.5,CCCCCCC#C
4-Octyne,59.6,CCCC#CCCC
1-Octene,28.7,CCCCCCC=C
"2,2-Dimethyl-3-hexene (trans)",105.3,CC/C=C/C(C)(C)C
"2,5-Dimethyl-3-hexene (cis)",103.5,CC(/C=C\C(C)C)C
2-Methyl-3-ethyl-1-pentene,99.5,CCC(C(=C)C)CC
"4,4-Diethyl-1-heptene",79.8,CCCC(CC=C)(CC)CC
"2-Methyl-1,3-butadiene",99.1,C=CC(=C)C
2-Methyl-1-butene,102.5,CCC(=C)C
3-Hexene (trans),94,CC/C=C/CC
2-Methyl-2-pentene,97.8,CCC=C(C)C
2-Heptene (trans),73.4,CCCC/C=C/C
4-Methyl-2-hexene (cis),98.6,C/C=C\C(CC)C
5-Methyl-2-hexene (trans),94.3,C/C=C/CC(C)C
"2,3-Dimethyl-1-pentene",99.3,CCC(C(=C)C)C
ETHANE,111.7,CC
PROPANE,111.4,CCC
n-Butane,94,CCCC
n-Hexane,24.8,CCCCCC
"2,3-Dimethylpentane",91.1,CCC(C(C)C)C
4-Methylheptane,26.7,CCCC(CCC)C
"2,3,4-Trimethylpentane",102.5,CC(C(C)C)C(C)C
"2,2-Dimethylheptane",50.3,CCCCCC(C)(C)C
"3,3,5-Trimethylheptane",86.4,CCC(CC(CC)(C)C)C
N-PROPANOL,104,CCCO
Heptane,0,CCCCCCC
Ethylbenzene,107.4,CCc1ccccc1
"1,4-Dimethylbenzene",116.4,Cc1ccc(cc1)C
"1,3-Dimethyl-5-ethylbenzene",114.8,CCc1cc(C)cc(c1)C
tert-Amylbenzene,108,CCC(c1ccccc1)(C)C
Allylbenzene,102.5,C=CCc1ccccc1
Indan (hydrindene),103.5,C1Cc2c(C1)cccc2
1-Methyl-2-n-propylcyclohexane (trans),29.4,CCC[C@@H]1CCCC[C@H]1C
1-Methyl-4-isopropylcyclohexane (cis),63.4,CC([C@@H]1CC[C@@H](CC1)C)C
"1,2,4-Trimethyl-4-isopropylcyclo-hexane",96,CC1CCC(CC1C)(C)C(C)C
Dicyclopropylmethane,95.1,C1CC1CC1CC1
cis-hydrindane ,70,[C@@H]12CCCC[C@H]2CCC1
trans-hydrindane ,58.5,[C@@H]12CCCC[C@@H]2CCC1
"1,1,3-Trimethylcyclohexane",81.3,CC1CCCC(C1)(C)C
Cyclopentene,93.3,C1CC=CC1
1-Methylcyclohexene,89.1,CC1=CCCCC1
"3,5,5-Trimethylcyclohexene",95.5,CC1C=CCC(C1)(C)C
"2,4-Dimethyl-2-pentene",100,CC(C=C(C)C)C
"4,4-Dimethyl-2-pentene (cis)",105.3,C/C=C\C(C)(C)C
2-Methyl-2-heptene,75.9,CCCCC=C(C)C
