Family,Name,SMILES,Set,T (K),Exp. Viscosity (Pa.s),Pred. Viscosity (Pa.s),A,F,G,X1,X9,X10,X11,X13,X18,X20,Y1,Y2,Y5,Y14,Y15,Y17,Y23
Alcohols,1-butanol,CCCCO,Validation,193.1,0.2176,0.29235,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,203.1,0.1058,0.14379,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,213.1,0.0578,0.07659,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,223.1,0.0343,0.04378,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,233.1,0.0217,0.02653,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,243.1,0.01447,0.01687,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Test,253.1,0.00996,0.01119,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,263.1,0.00725,0.0077,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Validation,273.1,0.00527,0.00548,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,278.1,0.00459,0.00468,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,283.1,0.00387,0.00402,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,288.1,0.00332,0.00347,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Test,293.1,0.00294,0.00301,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,298.1,0.00257,0.00263,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,300.1,0.00238,0.0025,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,303.1,0.00225,0.00231,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,308.1,0.00199,0.00204,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,313.1,0.00178,0.00181,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Validation,318.1,0.00158,0.00161,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Test,323.1,0.00139,0.00144,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-butanol,CCCCO,Training,328.1,0.00125,0.00129,74.1,2233.3,-17.7,4,0.78467909,8.06625,2.051805,-0.01128812,0.147335,24.600061,10,1,0,0,0,1,0
Alcohols,1-decanol,CCCCCCCCCCO,Prediction,288.2,,0.16692,158.3,2971.6,-15.6,10,0.78977273,8.507012,2.241826,0.08724073,0.094987,30.385158,22,1,0,0,0,1,0
