RON_Molecules_x,ZM2V,IC1,SPAN,RDF020m,Mor03u,Mor16m,Mor31m,Mor29v,Mor10p,nCp,ALOGP2,ALOGPS_logS,Data Set,Predicted,Absolute  Error,SMILES,RON_Molecules_y,Experiment
n-Butylbenzene,1.483,1.27,2.057,0.115,-0.406,0.72,-0.103,0.659,-0.76,-1.034,0.967,-0.864,Training,100.58,3.82,CCCCc1ccccc1,n-Butylbenzene,104.4
"1,2,3,4-Tetramethylbenzene",2.313,0.364,-0.096,-0.195,0.633,0.932,-1.054,0.68,-0.656,1.243,1.12,-0.374,Training,107.59,2.29,Cc1c(C)ccc(c1C)C,"1,2,3,4-Tetramethylbenzene",105.3
1-Phenylpentane,1.657,1.186,2.895,0.367,-0.932,0.272,0.442,0.52,-0.71,-1.034,1.779,-1.228,Training,89.73,0.53,CCCCCc1ccccc1,1-Phenylpentane,89.2
1-Methyl-2-allylbenzene,2.051,1.832,0.829,0.864,0.735,1.011,-0.526,0.541,-1.457,-1.034,0.392,-0.508,Training,101.42,2.82,C=CCc1ccccc1C,1-Methyl-2-allylbenzene,98.6
"1,2,3,4-Tetrahydronaphthalene",2.225,1.327,-0.043,0.115,-0.342,0.484,0.425,0.017,0.747,-1.793,0.421,-0.441,Training,102.26,5.86,C1CCc2c(C1)cccc2,"1,2,3,4-Tetrahydronaphthalene",96.4
sec-Butylcyclohexane,0.172,-1.008,1.054,0.375,-1.943,-0.876,1.728,0.852,1.089,-0.275,1.802,-1.532,Training,33.54,17.46,CCC(C1CCCCC1)C,sec-Butylcyclohexane,51
1-Methyl-2-n-propylcyclohexane (cis),0.172,-1.008,1.437,0.424,-1.761,-1.002,1.499,0.424,1.111,-0.275,1.802,-1.51,Training,32.01,1.61,CCC[C@H]1CCCC[C@H]1C,1-Methyl-2-n-propylcyclohexane (cis),30.4
Cyclo-octane,-0.527,-2.082,-0.999,0.09,-0.758,-0.743,0.249,-2.402,1.701,-1.793,0.908,-1.05,Training,60.98,11.12,C1CCCCCCC1,Cyclo-octane,72.1
"1,1-Dimethylcyclopentane",-0.353,-1.001,-1.132,-1.139,0.413,-1.836,-0.385,-0.732,1.174,-0.275,-0.415,-0.367,Training,101.96,9.66,CC1(C)CCCC1,"1,1-Dimethylcyclopentane",92.3
iso-Propylcyclopentane,-0.222,-0.907,-0.296,-0.813,-1.388,-1.804,0.935,-1.385,1.863,-0.275,0.267,-0.775,Training,68.76,12.34,CC(C1CCCC1)C,iso-Propylcyclopentane,81.1
iso-Butylcyclopentane,-0.091,-0.956,0.543,-0.545,-1.335,-1.67,0.953,-1.428,2.618,-0.275,0.988,-1.168,Training,42.91,9.51,CC(CC1CCCC1)C,iso-Butylcyclopentane,33.4
n-Propylcyclohexane,-0.178,-1.309,1.272,0.237,-1.742,-0.821,1.411,0.199,1.165,-1.034,1.341,-1.28,Training,20.44,2.64,CCCC1CCCCC1,n-Propylcyclohexane,17.8
Cyclohexene,-0.484,0.46,-1.504,0.481,0.632,-0.318,0.037,0.038,0.558,-1.793,-0.926,0.183,Training,78.21,5.69,C1CCC=CC1,Cyclohexene,83.9
"4,4-Dimethylcyclohexene",0.215,0.789,-0.824,0.693,0.483,-0.806,1.059,0.402,-0.697,-0.275,-0.401,-0.441,Training,94.39,1.81,CC1(C)CCC=CC1,"4,4-Dimethylcyclohexene",96.2
1-Octyne,-0.265,0.246,2.094,-0.146,-0.91,-0.287,-0.35,0.21,0.378,-1.034,1.903,-0.188,Training,47.65,2.85,CCCCCCC#C,1-Octyne,50.5
4-Octyne,-0.003,-0.308,1.842,0.131,-0.179,-0.153,-0.737,-0.037,-0.454,-0.275,0.991,0.027,Training,76.9,17.3,CCCC#CCCC,4-Octyne,59.6
1-Octene,-0.615,0.575,1.915,0.823,-1.405,0.24,0.548,-0.186,0.459,-1.034,0.877,-0.827,Training,38.52,9.82,CCCCCCC=C,1-Octene,28.7
"2,2-Dimethyl-3-hexene (trans)",-0.134,0.141,0.936,0.082,-0.027,0.067,-0.825,-0.497,-1.16,1.243,0.096,-0.508,Training,107.87,2.57,CC/C=C/C(C)(C)C,"2,2-Dimethyl-3-hexene (trans)",105.3
"2,5-Dimethyl-3-hexene (cis)",-0.222,-0.054,-0.312,0.09,0.224,-0.978,-0.315,-0.936,-0.427,1.243,0.161,-0.53,Training,108.79,5.29,CC(/C=C\C(C)C)C,"2,5-Dimethyl-3-hexene (cis)",103.5
2-Methyl-3-ethyl-1-pentene,-0.178,0.728,0.04,0.384,0.504,0.759,-0.191,-0.85,-0.337,0.484,0.533,0.153,Training,93.88,5.62,CCC(C(=C)C)CC,2-Methyl-3-ethyl-1-pentene,99.5
"4,4-Diethyl-1-heptene",0.434,0.62,1.156,1.32,-1.455,-0.224,0.266,0.038,0.387,0.484,2.577,-1.577,Training,69.6,10.2,CCCC(CC=C)(CC)CC,"4,4-Diethyl-1-heptene",79.8
"2-Methyl-1,3-butadiene",-0.615,1.137,-0.949,-0.072,1.618,1.058,-1.107,0.391,-0.746,-1.034,-1.334,1.156,Training,96.33,2.77,C=CC(=C)C,"2-Methyl-1,3-butadiene",99.1
2-Methyl-1-butene,-0.964,0.869,-0.992,-0.26,1.718,0.429,-0.861,-0.358,-1.12,-0.275,-0.968,1.497,Training,93.38,9.12,CCC(=C)C,2-Methyl-1-butene,102.5
3-Hexene (trans),-0.833,0.178,0.151,-0.064,-0.003,0.531,-0.843,-0.764,0.014,-0.275,-0.507,0.109,Training,86.88,7.12,CC/C=C/CC,3-Hexene (trans),94
2-Methyl-2-pentene,-0.702,0.331,-0.3,-0.333,0.934,0.445,-0.526,-0.775,-0.238,0.484,-0.519,1.311,Training,94.33,3.47,CCC=C(C)C,2-Methyl-2-pentene,97.8
2-Heptene (trans),-0.702,0.596,1.101,0.237,-0.465,0.343,0.055,-0.358,-0.292,-0.275,0.093,-0.396,Training,77.34,3.94,CCCC/C=C/C,2-Heptene (trans),73.4
4-Methyl-2-hexene (cis),-0.527,0.596,-0.101,0.172,0.428,0.468,-0.35,-0.069,-0.459,0.484,-0.188,-0.277,Training,97.99,0.61,C/C=C\C(CC)C,4-Methyl-2-hexene (cis),98.6
5-Methyl-2-hexene (trans),-0.615,0.596,0.49,0.115,0.228,0.177,0.354,-0.304,-0.504,0.484,-0.188,-0.277,Training,95.35,1.05,C/C=C/CC(C)C,5-Methyl-2-hexene (trans),94.3
"2,3-Dimethyl-1-pentene",-0.396,0.819,-0.191,0.156,0.888,0.799,-0.544,-0.711,-0.787,0.484,-0.129,0.71,Training,96.66,2.64,CCC(C(=C)C)C,"2,3-Dimethyl-1-pentene",99.3
ETHANE,-1.882,-2.333,-2.751,-1.587,1.191,0.972,-1.477,1.044,-0.072,-0.275,-1.747,2.611,Training,101.69,10.01,CC,ETHANE,111.7
