NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),UB(mol/L),Density (g/mL),Boiling Point (K)
1,isobutane,CC(C)C,103.3274869,99.12263053,23.46376722,26073.1581,45337.8383,421.7802107,0,0.575086045,268.3646629
2,n-butane,CCCC,86.86123044,84.62073371,22.38627983,26047.41368,45645.14952,330.2605741,0,0.570650199,276.8813836
3,"2,2-dimethylpropane",CC(C)(C)C,88.25427544,83.59410359,34.22767128,26929.0136,45073.43342,282.5309612,0,0.597447577,284.1781538
4,isopentane,CCC(C)C,90.40230736,85.65808115,30.10953729,27834.19816,44916.51257,136.7935299,0,0.619687428,302.5105922
5,n-pentane,CCCCC,61.86980994,63.54538732,28.658022,27784.87162,45160.73609,110.5585735,0,0.615243994,310.680615
6,"2,2-dimethylbutane",CC(C)(C)CC,86.79778516,87.62678923,40.99143919,28724.38587,44778.48083,71.679406,0,0.641477454,323.3888759
7,cyclopentane,C1CCCC1,103.9811369,86.31590899,26.32934865,32235.27864,43759.30982,94.80410027,0,0.736649613,320.9458698
8,"2,3-dimethylbutane",CC(C)C(C)C,103.7878747,93.20354617,41.16413569,29482.2807,44501.43466,55.85219168,0,0.662501803,329.0662319
9,2-methylpentane,CC(C)CCC,71.37066461,68.10023088,36.82761189,29262.29671,44660.63761,42.92302786,0,0.655214486,334.375854
10,3-methylpentane,CCC(C)CC,77.48023547,73.5605356,36.82761189,29262.29671,44660.63761,40.24276941,0,0.655214486,334.375854
11,n-hexane,CCCCCC,32.77349417,36.41284382,34.99650335,29212.15643,44858.70662,37.38167001,0,0.651203716,342.3042314
12,"2,2-dimethylpentane",CC(C)(C)CCC,91.50523699,86.77797151,47.83549278,30189.40057,44587.11441,23.60002815,0,0.67708801,350.7965989
13,methylcyclopentane,CC1CCCC1,89.39923947,82.17257809,35.354921,32327.78549,43522.6784,39.48862861,0,0.74278024,343.2189051
14,"2,4-dimethylpentane",CC(C)CC(C)C,84.5742951,76.11987619,48.3585971,30574.76518,44352.29602,20.5161093,0,0.689361497,358.7715206
15,"2,2,3-trimethylbutane",CC(C)(C)C(C)C,112.4394421,106.7565713,51.97822028,30325.63065,44474.95283,24.12472364,0,0.681858635,355.0770228
16,benzene,C1=CC=CC=C1,102.0322695,93.44028818,105.825604,35581.38025,40423.11886,39.98389841,0,0.880223527,357.2742244
17,"3,3-dimethylpentane",CCC(C)(C)CC,81.51294293,87.99336088,47.83549278,30189.40057,44587.11441,20.93276447,0,0.67708801,361.633436
18,cyclohexane,C1CCCCC1,83.17936286,75.59045645,39.58368712,33452.746,43394.04596,31.50011968,0,0.77090636,356.9099321
19,2-methylhexane,CC(C)CCCC,48.412034,47.98374361,43.6187478,30392.62176,44495.71974,16.30814774,0,0.683045964,363.894012
20,"2,3-dimethylpentane",CC(C)C(C)CC,92.28666138,79.15708307,48.3585971,30574.76518,44352.29602,18.05832992,0,0.689361497,358.7715206
21,"1,1-dimethylcyclopentane",CC1(C)CCCC1,92.69793846,88.51306012,57.77709258,32775.19757,43452.82804,17.15785091,0,0.754270758,360.9842813
22,3-methylhexane,CCC(C)CCC,52.99700461,58.25645743,43.6187478,30392.62176,44495.71974,15.60002561,0,0.683045964,363.894012
23,"cis 1,3-dimethylcyclopentane",C[C@@H]1C[C@H](C)CC1,77.72763209,73.20820714,46.21527717,32688.79736,43452.82804,16.39653461,0,0.752282391,365.6135832
24,3-ethylpentane,CCC(CC)CC,62.65189945,69.69862859,43.6187478,30392.62176,44495.71974,15.20100481,0,0.683045964,363.894012
25,"anti-1,2-dimethylcyclopentane",CC1C(C)CCC1,102.0454722,87.29494264,46.21527717,32688.79736,43452.82804,15.85341776,0,0.752282391,365.6135832
26,n-heptane,CCCCCCC,2.785198731,7.371766655,41.40248778,30349.84718,44657.25508,12.38038161,0,0.679617391,371.7310186
27,methylcyclohexane,CC1CCCCC1,73.14798321,72.43474117,53.98400309,33621.84525,43222.87955,10.17813309,0,0.777871479,376.7684437
28,"2,2-dimethylhexane",CC(C)(C)CCCC,70.26014473,79.2261299,54.76061096,31341.40522,44457.44421,8.245667096,0,0.704975416,379.9131881
29,"1,1,3-trimethylcyclopentane",CC1CC(C)(C)CC1,81.93968715,84.40833745,76.47619021,33168.80362,43461.4316,8.239940023,0,0.763177889,380.5951844
30,"2,5-dimethylhexane",CC(C)CCC(C)C,62.80921141,58.13253003,55.63222241,31429.18376,44255.83199,7.907938283,0,0.710170442,385.9954743
31,"2,4-dimethylhexane",CC(C)CC(C)CC,69.20204603,75.72782985,55.63222241,31429.18376,44255.83199,7.141817064,0,0.710170442,385.9954743
32,"1,2,4-trimethylcyclopentane",CC1CC(C)C(C)C1,89.1166591,81.88110364,60.2097673,33183.52395,43461.4316,8.886915857,0,0.763516588,388.0942867
33,"3,3-dimethylhexane",CCC(C)(C)CCC,58.47069234,80.72032233,54.76061096,31341.40522,44457.44421,7.159961357,0,0.704975416,385.5629633
34,"1,2,3-trimethylcyclopentane",CC1C(C)C(C)CC1,86.44623393,91.20200418,60.2097673,33183.52395,43461.4316,8.113132439,0,0.763516588,388.0942867
35,"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,103.5537981,97.35196949,65.84511757,31636.68924,44109.13667,7.142405612,0,0.717236646,383.5337226
36,toluene,CC1=CC=CC=C1,120.0589148,100.8980314,196.8847215,35405.38405,40719.30952,7.729943098,0,0.869498635,381.8488507
37,"2,3-dimethylhexane",CC(C)C(C)CCC,69.20204603,75.72782985,55.63222241,31429.18376,44255.83199,6.034080226,0,0.710170442,385.9954743
38,2-methyl-3-ethylpentane,CC(C)C(CC)CC,87.75963966,86.77804495,55.63222241,31429.18376,44255.83199,5.859783293,0,0.710170442,385.9954743
39,2-methylheptane,CC(C)CCCCC,24.90068992,27.00855712,50.48369923,31275.44494,44384.22731,5.924490352,0,0.704652234,391.1218515
40,4-methylheptane,CCCC(C)CCC,27.95744343,43.68196501,50.48369923,31275.44494,44384.22731,5.297539998,0,0.704652234,391.1218515
41,"3,4-dimethylhexane",CCC(C)C(C)CC,77.83523437,79.60950998,55.63222241,31429.18376,44255.83199,5.784732265,0,0.710170442,385.9954743
42,3-methylheptane,CCC(C)CCCC,27.95744343,43.68196501,50.48369923,31275.44494,44384.22731,5.285224109,0,0.704652234,391.1218515
43,3-ethylhexane,CCC(CC)CCC,31.29142946,51.77772812,50.48369923,31275.44494,44384.22731,5.253719395,0,0.704652234,391.1218515
44,"cis 1,3-dimethylcyclohexane",C[C@@H]1C[C@H](C)CCC1,70.23492274,66.09313858,70.63904035,33778.21802,43174.10394,4.86611717,0,0.782372185,395.7314947
45,"trans 1,4-dimethylcyclohexane",C[C@H]1CC[C@H](C)CC1,67.99656577,64.11610349,70.63904035,33778.21802,43174.10394,4.801109739,0,0.782372185,395.7314947
46,"2,2,5-trimethylhexane",CC(C)(C)CCC(C)C,106.484189,106.106916,66.83454299,32368.54389,44264.84035,4.332486261,0,0.731247275,401.7794318
47,trans 1-ethyl-3-methylcyclopentane,C[C@H]1C[C@H](CC)CC1,60.51530417,53.41738374,54.14219591,33501.79413,43474.43209,5.009028226,0,0.770609126,392.2183601
48,trans 1-methyl-2-ethylcyclopentane,CC[C@H]1[C@H](C)CCC1,78.13957755,73.61943173,54.14219591,33501.79413,43474.43209,4.486257709,0,0.770609126,392.2183601
49,"2,2,4-trimethylhexane",CC(C)(C)CC(C)CC,94.88795689,100.843218,66.83454299,32368.54389,44264.84035,3.758657997,0,0.731247275,401.7794318
50,1-ethyl-1-methylcyclopentane,CC1(CC)CCCC1,73.39510893,78.5876581,64.3295946,33601.65385,43474.43209,5.85327044,0,0.772906102,392.5526003
51,"trans-1,2-dimethylcyclohexane",C[C@H]1[C@H](C)CCCC1,94.18962193,78.20111347,70.63904035,33778.21802,43174.10394,4.830509768,0,0.782372185,395.7314947
52,n-octane,CCCCCCCC,-24.65666928,-19.46447513,47.87673972,31240.22428,44515.1306,4.403508745,0,0.701788894,399.0346364
53,"1,2,3-trimethylcyclopentane",CC1C(C)C(C)CC1,86.44623393,91.20200418,60.2097673,33183.52395,43461.4316,8.113132439,0,0.763516588,388.0942867
54,"trans-1,3-dimethylcyclohexane",C[C@H]1C[C@H](C)CCC1,70.23492274,66.09313858,70.63904035,33749.68352,43137.63217,4.86611717,0,0.782372185,395.7314947
55,isopropylcyclopentane,CC(C1CCCC1)C,80.95081906,75.55481952,62.76953753,33705.47022,43174.10394,4.646539754,0,0.780687198,399.0649901
56,"2,3,5-trimethylhexane",CC(C)C(C)CC(C)C,80.99065139,93.28044839,73.63614244,32282.71226,44050.23982,3.336860648,0,0.732861215,408.3565111
57,cis-1-methyl-2-ethylcyclopentane,CC[C@@H]1[C@H](C)CCC1,78.13957755,73.61943173,54.14219591,33501.79413,43474.43209,4.486257709,0,0.770609126,392.2183601
58,"2,2,3-trimethylhexane",CC(C)(C)C(C)CCC,97.03612899,100.843218,66.83454299,32368.54389,44264.84035,3.31373464,0,0.731247275,409.0751296
59,"cis 1,2-dimethylcyclohexane",C[C@@H]1[C@H](C)CCCC1,94.18962193,78.20111347,70.63904035,33778.21802,43174.10394,4.830509768,0,0.782372185,395.7314947
60,"2,6-dimethylheptane",CC(C)CCCC(C)C,42.03348617,40.06057436,62.98572288,32097.7516,44191.72495,3.914264352,0,0.726329457,410.8752705
